categoria,centroide_lat,centroide_lon,fuente,id,nombre,nombre_completo,provincia_id,provincia_interseccion,provincia_nombre,,,
Comision de Fomento,-380.504.241.884.088,-695.338.451.224.223,Direc. Pcial. de Catastro e Inf. Territorial,585021,Los Chihuidos,Comision de Fomento Los Chihuidos,58,0.016660657,Neuquén,,,
Comision de Fomento,-389.693.906.408.624,-697.563.648.428.793,Direc. Pcial. de Catastro e Inf. Territorial,585147,Ramon Castro,Comision de Fomento Ramon Castro,58,0.009196387,Neuquén,,,
Comision de Fomento,-386.166.812.663.412,-696.916.428.096.758,Direc. Pcial. de Catastro e Inf. Territorial,585133,Covunco Abajo,Comision de Fomento Covunco Abajo,58,0.006241711,Neuquén,,,
Comision de Fomento,-396.260.254.161.966,-70.898.029.831.876,Direc. Pcial. de Catastro e Inf. Territorial,585028,Pilo Lil,Comision de Fomento Pilo Lil,58,0.000514108,Neuquén,,,
Comision de Fomento,-385.628.864.544.464,-690.137.527.772.465,Direc. Pcial. de Catastro e Inf. Territorial,585042,Sauzal Bonito,Comision de Fomento Sauzal Bonito,58,0.001961875,Neuquén,,,
Municipio,-401.347.992.136.534,-713.015.414.173.336,Direc. Pcial. de Catastro e Inf. Territorial,580119,San Martín de los Andes,Municipio San Martín de los Andes,58,0.001556173,Neuquén,,,
Municipio,-277.497.326.053.766,-60.895.146.198.341,Direc. Pcial. de Catastro y Cartografía,220308,Coronel Du Graty,Municipio Coronel Du Graty,22,0.007974235,Chaco,,,
Municipio,-276.094.738.169.633,-603.528.866.161.125,Direc. Pcial. de Catastro y Cartografía,220420,Samuhú,Municipio Samuhú,22,0.008179048,Chaco,,,
Municipio,-278.743.070.022.137,-591.796.870.078.997,Direc. Pcial. de Catastro y Cartografía,220392,Basail,Municipio Basail,22,0.013670989,Chaco,,,
Municipio,-277.053.948.262.969,-58.910.501.963.792,Direc. Pcial. de Catastro y Cartografía,220406,Puerto Vilelas,Municipio Puerto Vilelas,22,0.005812352,Chaco,,,
Municipio,-274.821.152.611.743,-589.196.674.519.405,Direc. Pcial. de Catastro y Cartografía,220385,Barranqueras,Municipio Barranqueras,22,0.000591017,Chaco,,,
Municipio,-27.411.362.360.788,-614.672.888.167.323,Direc. Pcial. de Catastro y Cartografía,220098,General Capdevila,Municipio General Capdevila,22,0.001905633,Chaco,,,
Municipio,-351.849.498.630.336,-576.863.916.153.998,ARBA - Gerencia de Servicios Catastrales,60505,Magdalena,Municipio Magdalena,6,0.005933225,Buenos Aires,,,
Municipio,-3.452.651.318.083,-58.504.469.589.773,ARBA - Gerencia de Servicios Catastrales,60861,Vicente Lopez,Municipio Vicente Lopez,6,0.000109738,Buenos Aires,,,
Municipio,-274.192.742.863.885,-553.818.743.554.229,Ministerio de Ecología,540084,Mártires,Municipio Mártires,54,0.003557675,Misiones,,,
Municipio,-264.059.052.828.746,-543.574.983.163.211,Ministerio de Ecología,540168,Santiago de Liniers,Municipio Santiago de Liniers,54,0.012885868,Misiones,,,
Municipio,-267.112.090.360.395,-539.412.291.264.285,Ministerio de Ecología,540504,San Pedro,Municipio San Pedro,54,0.105775951,Misiones,,,
Comision de Fomento,-242.874.111.689.075,-598.298.344.316.784,Direc. Grl. Catastro (WMS),345042,Fortín Lugones,Comision de Fomento Fortín Lugones,34,1,,,,
Municipio,-273.378.730.497.718,-607.011.479.061.373,Direc. Pcial. de Catastro y Cartografía,220350,San Bernardo,Municipio San Bernardo,22,0.009923154,Chaco,,,
Delegacion Municipal,-259.166.159.135.438,-606.640.706.206.378,Direc. Pcial. de Catastro y Cartografía,220182,Juan José Castelli,Delegacion Municipal Juan José Castelli,22,0.045798492,Chaco,,,
Municipio,-254.782.409.210.673,-610.371.403.012.266,Direc. Pcial. de Catastro y Cartografía,220189,Miraflores,Municipio Miraflores,22,0.035914219,Chaco,,,
Comuna,-277.311.386.048.214,-655.637.818.950.497,Direccion de Estadística de la Prov. Tucumán,908259,San Jose de la Cocha,Comuna San Jose de la Cocha,90,0.001841001,Tucumán,,,
Comuna Rural,-27.642.361.639.587,-657.194.897.325.952,Direccion de Estadística de la Prov. Tucumán,908266,Yanima,Comuna Rural Yanima,90,0.00151782,Tucumán,,,
Municipio,-271.249.377.281.009,-586.766.006.044.424,Direc. Pcial. de Catastro y Cartografía,220056,Las Palmas,Municipio Las Palmas,22,0.004474008,Chaco,,,
Municipio,-290.601.700.356.195,-587.974.473.916.707,Direccion de Estadística y Censos,180217,Yataytí Calle,Municipio Yataytí Calle,18,0.007183651,Corrientes,,,
Delegacion Municipal,-268.872.364.610.762,-585.220.496.631.663,Direc. Pcial. de Catastro y Cartografía,220063,Puerto Bermejo,Delegacion Municipal Puerto Bermejo,22,0.004450511,Chaco,,,
Municipio,-270.468.199.731.497,-597.751.690.486.134,Direc. Pcial. de Catastro y Cartografía,220357,Presidencia de la Plaza,Municipio Presidencia de la Plaza,22,0.022614938,Chaco,,,
Municipio,-338.358.155.353.661,-605.450.748.689.576,ARBA - Gerencia de Servicios Catastrales,60623,Pergamino,Municipio Pergamino,6,0.009484475,Buenos Aires,,,
Municipio,-365.722.509.524.193,-589.444.061.302.172,ARBA - Gerencia de Servicios Catastrales,60672,Rauch,Municipio Rauch,6,0.014062351,Buenos Aires,,,
Comision Municipal,-221.949.119.799.291,-653.412.864.273.208,Direc. Grl. de Inmuebles,386273,Yavi,Comision Municipal Yavi,38,0.01213804,Jujuy,,,
Municipio,-290.543.617.301.547,-577.596.459.149.959,Direccion de Estadística y Censos,180245,Mercedes,Municipio Mercedes,18,0.098279044,Corrientes,,,
Municipio,-266.232.885.192.826,-597.788.567.014.564,Direc. Pcial. de Catastro y Cartografía,220455,Las Garcitas,Municipio Las Garcitas,22,0.002995185,Chaco,,,
Municipio,-265.221.875.283.042,-592.755.844.593.318,Direc. Pcial. de Catastro y Cartografía,220259,Gral. San Martengeneral San Martín,Municipio Gral. San Martengeneral San Martín,22,0.026291139,Chaco,,,
Municipio,-282.333.428.700.223,-585.563.693.378.129,Direccion de Estadística y Censos,180308,Saladas,Municipio Saladas,18,0.015110911,Corrientes,,,
Municipio,-26.184.603.792.573,-593.642.106.776.359,Direc. Grl. Catastro (WMS),340252,Villa Dos Trece,Municipio Villa Dos Trece,34,5,,,,
Municipio,-261.772.297.025.285,-596.843.651.883.855,Direc. Pcial. de Catastro y Cartografía,220294,Presidencia Roca,Municipio Presidencia Roca,22,0.010253405,Chaco,,,
Municipio,-260.214.403.532.384,-599.713.281.008.366,Direc. Pcial. de Catastro y Cartografía,220287,Pampa del Indio,Municipio Pampa del Indio,22,0.016512655,Chaco,,,
Municipio,-263.210.291.409.793,-60.455.348.259.001,Direc. Pcial. de Catastro y Cartografía,220301,Tres Isletas,Municipio Tres Isletas,22,0.029211966,Chaco,,,
Municipio,-366.710.137.553.167,-630.491.259.803.334,ARBA - Gerencia de Servicios Catastrales,60721,Salliquelo,Municipio Salliquelo,6,0.002590869,Buenos Aires,,,
Delegacion Municipal,-254.572.628.455.707,-60.512.589.546.568,Direc. Pcial. de Catastro y Cartografía,220203,Villa Río Bermejito,Delegacion Municipal Villa Río Bermejito,22,0.031202036,Chaco,,,
Municipio,-249.918.396.458.623,-615.529.901.499.502,Direc. Pcial. de Catastro y Cartografía,220169,Mision Nueva Pompeya,Municipio Mision Nueva Pompeya,22,0.014343472,Chaco,,,
Municipio,-250.435.535.331.707,-619.982.165.754.166,Direc. Pcial. de Catastro y Cartografía,220175,Fuerte Esperanza,Municipio Fuerte Esperanza,22,0.068337123,Chaco,,,
